Species,Lat.mean,T.binary
Wilbrandia_verticillata,-20.6610101462307,1
Wilbrandia_longisepala,-25.2573631256002,0
Wilbrandia_ebracteata,-26.3547080446993,0
Wikstroemia_nutans,23.2122871665789,1
Wikstroemia_monnula,26.3156138444444,0
Wikstroemia_indica,-22.752418210126,1
Wikstroemia_canescens,30.726850317381,0
Wielandia_elegans,-16.967554875,1
Wiborgia_tetraptera,-32.738728765,0
Wiborgia_sericea,-31.9107059565217,0
Wiborgia_obcordata,-32.7323052296629,0
Wiborgia_mucronata,-32.5520712289796,0
Wiborgia_monoptera,-30.4540338,0
Wiborgia_incurvata,-30.1475,0
Wiborgia_humilis,-31.0416666666667,0
Wiborgia_fusca,-31.9742189583333,0
Whiteodendron_moultonianum,2.1874962,1
Wetria_insignis,1.80054446428571,1
Wetria_australiensis,-16.57104985,1
Wenzelia_dolichophylla,-7.57738085714286,1
Wendtia_gracilis,-38.5791575,0
Welchiodendron_longivalve,-10.8871923187348,1
Weinmannia_vitiensis,-16.7833,1
Weinmannia_vescoi,-16.7714357142857,1
Weinmannia_trichosperma,-36.229020203125,0
Weinmannia_tomentosa,5.40184750617284,1
Weinmannia_silvicola,-36.5062482666667,0
Weinmannia_serrata,-21.336266,1
Weinmannia_sanguisugarum,-14.28913,1
Weinmannia_samoensis,-18.7945552,1
Weinmannia_rutenbergii,-17.7534270661765,1
Weinmannia_richii,-14.7666666666667,1
Weinmannia_raiateensis,-16.78221,1
Weinmannia_racemosa,-41.7542440311203,0
Weinmannia_parviflora,-15.0652685172414,1
Weinmannia_ovata,-8.60455827272727,1
Weinmannia_minutiflora,-18.3447511764706,1
Weinmannia_marojejyensis,-14.4333304285714,1
Weinmannia_madagascariensis,-20.719026625,1
Weinmannia_karsteniana,8.92640262962963,1
Weinmannia_hooglandii,3.4333335,1
Weinmannia_fraxinea,-2.98135435714286,1
Weinmannia_dichotoma,-21.2379695277778,1
Weinmannia_clemensiae,6.08819433333333,1
Weinmannia_bojeriana,-18.9724987398374,1
Weinmannia_bangii,-16.045532125,1
Weinmannia_auriculata,-5.74932613131313,1
Weddellina_squamulosa,-2.71992042550669,1
Weberbauerella_brongniartioides,-16.9282187272727,1
Weberbauera_peruviana,-17.8970155,1
Weberbauera_herzogii,-22.0649109166667,1
Weberbauera_colchaguensis,-41.56651625,0
Warneckea_yangambensis,0.953762166666667,1
Warneckea_wildeana,1.26718,1
Warneckea_sousae,-21.8602222,1
Warneckea_sapinii,-0.76625496,1
Warneckea_sansibarica,-9.41538047169811,1
Warneckea_pulcherrima,3.04599262790698,1
Warneckea_parvifolia,5.68583,1
Warneckea_membranifolia,2.84700190517241,1
Warneckea_melindensis,-4.34853527272727,1
Warneckea_masoalae,-15.661945,1
Warneckea_mangrovensis,3.00666666666667,1
Warneckea_hedbergiorum,-5.18767807142857,1
Warneckea_fosteri,1.40624169230769,1
Warneckea_fascicularis,7.78608424242424,1
Warneckea_amaniensis,-5.65466438636364,1
Warea_sessilifolia,30.6115507459643,0
Warea_cuneifolia,31.0979202982765,0
Warea_amplexifolia,28.4132577901,0
Waltheria_indica,6.79570493747617,1
Waltheria_glomerata,13.6717795055035,1
Walsura_tubulata,1,1
Wallaceodendron_celebicum,12.6427706190476,1
Wajira_virescens,2.991665,1
Wajira_praecox,-2.95955605882353,1
Wajira_grahamiana,-9.05566877777778,1
Wajira_albescens,0.546112333333333,1
Vouarana_guianensis,-0.539405829408471,1
Vouacapoua_macropetala,4.12958325,1
Votomita_guianensis,3.197896,1
Vochysia_tucanorum,-18.9102804152435,1
Vochysia_rufescens,-0.861637285714286,1
Vochysia_hondurensis,17.5730072948851,1
Vochysia_guatemalensis,15.6657727795931,1
Vochysia_ferruginea,5.09951451887464,1
Viviania_ovata,-36.5611994,0
Viviania_marifolia,-33.2055315384615,0
Viviania_crenata,-34.6267558888889,0
Vitis_vulpina,39.0845179495838,0
Vitis_vinifera,49.3033482035089,0
Vitis_tiliifolia,17.0959024873795,1
Vitis_rupestris,40.7048089832345,0
Vitis_rotundifolia,31.3683719120778,0
Vitis_riparia,42.2651088949325,0
Vitis_quinquangularis,28.2235927254902,0
Vitis_palmata,35.2371642608952,0
Vitis_monticola,30.0049418076386,0
Vitis_labrusca,40.7319604840107,0
Vitis_japonica,41.79698,0
Vitis_jacquemontii,33.9088666666667,0
Vitis_heyneana,28.2688469004329,0
Vitis_girdiana,33.9140226669669,0
Vitis_flexuosa,34.3695755381669,0
Vitis_ficifolia,34.2158971181325,0
Vitis_davidii,28.80304115,0
Vitis_cordifolia,41.08745675,0
Vitis_coignetiae,38.2700591608346,0
Vitis_cinerea,30.2570703120561,0
Vitis_californica,38.680065301608,0
Vitis_bryoniifolia,27.2020122676056,0
Vitis_betulifolia,29.4417026086957,0
Vitis_bellula,26.3554782930303,0
Vitis_arizonica,33.1982466236999,0
Vitis_amurensis,39.7011238545455,0
Vitis_aestivalis,37.803378578153,0
Vitis_acerifolia,36.201234297477,0
Vismia_rubescens,-0.044340052631579,1
Vismia_macrophylla,2.01706543189701,1
Vismia_guineensis,6.10094824277457,1
Vismia_guianensis,-7.63340087324825,1
Vismia_gracilis,-7.56494324550085,1
Vismia_ferruginea,0.507126412956951,1
Vismia_cayennensis,0.551638995720824,1
Vismia_billbergiana,9.66220143771134,1
Vismia_baccifera,5.36872330904764,1
Viscainoa_geniculata,28.0329349367206,0
Viridivia_suberosa,-10.2579280909091,1
Virgilia_oroboides,-34.239491060241,0
Virgilia_divaricata,-33.7338868,0
Viola_yunnanfuensis,26.9252087777778,0
Viola_yunnanensis,22.4992974230769,1
Viola_yezoensis,37.0104267329545,0
Viola_yazawana,36.0911323333333,0
Viola_woosanensis,34.17,0
Viola_websteri,34.17,0
Viola_violacea,35.5936646637313,0
Viola_verecunda,36.8887080377885,0
Viola_variegata,37.7093417045455,0
Viola_tricolor,57.760372113015,0
Viola_triangulifolia,26.6595824128571,0
Viola_tokubuchiana,36.7532091690592,0
Viola_tienschiensis,25.668124,0
Viola_thomasiana,45.2093755379365,0
Viola_tenuicornis,37.17740845,0
Viola_tashiroi,26.9030558461538,0
Viola_suavis,45.9579378788663,0
Viola_stewardiana,28.83955612,0
Viola_sororia,38.7532282619838,0
Viola_sieboldii,35.4315012591247,0
Viola_selkirkii,61.1323402347595,0
Viola_sagittata,40.6106279036378,0
Viola_sacchalinensis,48.8049128529412,0
Viola_rupestris,58.5941589375392,0
Viola_rostrata,40.7357195004038,0
Viola_rossii,36.8452001288727,0
Viola_riviniana,58.2305745228864,0
Viola_renifolia,49.1383636661134,0
Viola_reichenbachiana,52.4424467566234,0
Viola_raddeana,37.0871326666667,0
Viola_pyrenaica,44.1764200074286,0
Viola_pubescens,41.1836935885042,0
Viola_prionantha,27.8298424026846,0
Viola_pinnata,44.7524813776,0
Viola_philippica,25.7956630598462,0
Viola_phalacrocarpa,36.6577815839247,0
Viola_pekinensis,35.2964945,0
Viola_patrinii,37.7269706075429,0
Viola_palustris,59.8774856587272,0
Viola_orientalis,39.8232958181818,0
Viola_odorata,53.2360986593842,0
Viola_mucronulifera,25.0238289375,0
Viola_moupinensis,27.5119555416667,0
Viola_mirabilis,59.3389784678415,0
Viola_mandshurica,35.6754352611018,0
Viola_magnifica,28.8669233333333,0
Viola_macloskeyi,43.4138865357561,0
Viola_lutea,51.0378322978946,0
Viola_lucens,28.099781875,0
Viola_lanaiensis,20.8505165,1
Viola_lactiflora,29.19888425,0
Viola_lactea,46.6456114052045,0
Viola_labradorica,43.9126386669981,0
Viola_kusanoana,37.0968976696414,0
Viola_kosanensis,28.5852337272727,0
Viola_keiskei,35.8253667976799,0
Viola_jaubertiana,39.8252727541687,0
Viola_japonica,35.2637384539316,0
Viola_iwagawai,24.3479165,0
Viola_inconspicua,24.9978548230769,0
Viola_hondoensis,36.0203260413409,0
Viola_hirtipes,37.1003216551978,0
Viola_hirta,55.383654249684,0
Viola_hancockii,42.75057825,0
Viola_grypoceras,37.2362178897795,0
Viola_grandisepala,28.3398358333333,0
Viola_fargesii,24.12874475,0
Viola_eizanensis,36.1607835700959,0
