"Age","Temp_C"
0.01299,3.90893976
0.01318,3.8346
0.01336,3.28470144
0.01336,3.74018176
0.01349,3.61239384
0.0135,3.62582616
0.01379,3.632544
0.01386,3.5486515
0.01402,3.231456
0.01402,3.032424
0.01435,2.966304
0.01435,2.93988736
0.01436,3.17164056
0.01477,3.198214
0.01485,3.073805875
0.01502,2.571936
0.01502,2.678345875
0.01502,2.465821875
0.01523,2.50007256
0.01534,2.06528544
0.01534,2.30477016
0.01539,2.48702104
0.01545,2.51965824
0.01584,2.38277016
0.01591,2.23341184
0.01602,2.20749696
0.01602,1.78889176
0.0161,1.66104216
0.01632,1.69935
0.01633,2.25285976
0.01633,2.246376
0.01649,2.32425504
0.01663,2.28529536
0.01663,2.20749696
0.01678,2.149254
0.01697,2.052384
0.01702,2.213974
0.01702,1.40246288994485
0.01702,0.670916221188046
0.01713,0.886177875000003
0.01713,0.965877359999999
0.01719,0.990918640000001
0.01741,1.62277464
0.01763,1.91718936
0.01763,1.69296256
0.01769,1.62914976
0.01776,1.29281176
0.01798,0.685397759999999
0.01802,0.419502960000004
0.01804,0.493497840000001
0.01804,0.468814960000003
0.01808,0.253604160000002
0.01828,0.462647039999999
0.01832,0.71645016
0.01849,0.481154159999999
0.01871,0.241347839999999
0.01876,0.345669360000003
0.01876,0.252071875
0.01892,0.374875875000002
0.01902,0.738203500000002
0.01902,1.003446
0.01906,1.026946875
0.0192,0.816006000000001
0.01934,0.524376640000001
0.01943,0.407186160000002
0.01943,0.444150000000001
0.01978,0.419502960000004
0.01979,0.617181040000002
0.01993,0.660576
0.02006,0.598600000000002
0.02011,0.666779760000001
0.02011,0.660576
0.0202,0.672984640000003
0.02034,0.791090159999999
0.02048,0.91584856
0.02062,0.691606000000003
0.02076,0.567654000000002
0.02078,0.617181040000002
0.02078,0.604792559999999
0.0209,0.5521915
0.02101,0.816006000000001
0.02103,1.003446
0.0212,0.909600000000002
0.02132,1.026946875
0.02147,0.840939759999999
0.02166,0.604792559999999
0.02178,0.43182424
0.02179,0.474984000000001
0.02179,0.298070875
0.02187,0.505846
0.02203,0.683845875000002
0.02207,1.058305875
0.02228,1.3338915
0.02275,1.31176576
0.02303,1.38135
0.02312,1.41936216
0.0233,1.39401624
0.02351,1.17300384
0.02372,1.15412376
0.0238,1.06615
0.0238,1.01597784
0.02392,1.10382616
0.02393,1.097544
0.02395,1.058305875
0.02403,1.003446
0.02413,1.003446
0.02502,0.743384889925248
0.02502,1.0191115
0.02503,1.105396875
0.02503,1.199767875
0.02518,1.3338915
0.02539,1.23601024
0.02558,1.128966
0.0258,1.09126296
0.02597,1.10382616
0.02625,1.097544
0.02645,1.11639384
0.02663,1.21709656
0.02666,1.35603096
0.02678,1.37501856
0.02678,1.37501856
0.02679,1.484392875
0.02688,1.349704
0.02703,1.160416
0.02733,1.121107875
0.02754,1.247047875
0.02776,1.41936216
0.02793,1.40035104
0.02804,1.43838336
0.02821,1.52728224
0.0284,1.48915584
0.02856,1.35603096
0.02856,1.37501856
0.02862,1.36868824
0.02884,1.349704
0.02891,1.357612875
0.02904,1.452655875
0.02912,1.4288715
0.02939,1.420946875
0.02944,1.413024
0.02944,1.64190336
0.02951,1.59728536
0.02954,1.635526
0.02964,1.635526
0.02977,1.62277464
0.0299,1.373435875
0.03003,1.691365875
0.03004,1.667424
0.03004,1.707335875
0.03045,1.7792875
0.03058,1.731304
0.03084,1.46376064
0.03095,1.49550744
0.03097,1.51456896
0.0312,1.51456896
0.0312,1.68657624
0.03123,1.667424
0.03136,1.67380696
0.03149,1.71851904
0.03164,1.7472915
0.03191,1.675402875
0.03204,1.755287875
0.03218,1.851380875
0.03272,1.627555875
0.03276,1.45741464
0.03296,1.43204184
0.03296,1.61640064
0.033,1.56544896
0.03304,1.81451544
0.03327,2.03304024
0.03329,1.987944
0.03329,1.78889176
0.03354,1.835347875
0.03381,1.691365875
0.03404,1.6833835
0.03409,1.691365875
0.03436,1.5877315
0.03463,1.52728224
0.03473,1.547950875
0.03473,1.6514715
0.03504,1.7153235
0.03546,1.8433635
0.03573,1.9718515
0.03592,1.99438296
0.036,1.87865304
0.03605,1.78889176
0.03627,1.75048984
0.0365,1.74409344
0.0365,1.731304
0.03655,1.795296
0.0368,1.8433635
0.03704,2.1977835
0.03705,2.254480875
0.03705,2.2950315
0.03729,2.311264
0.03754,2.13632344
0.0377,1.915582875
0.03804,2.084646
0.03805,2.205877875
0.03826,2.141171875
0.03826,2.311264
0.03828,2.20749696
0.03853,2.084646
0.03878,1.9396875
0.03903,1.827334
0.03905,1.763286
0.03905,1.8594
0.03928,1.787290875
0.03944,1.923616
0.03952,2.04593496
0.03961,1.97506944
0.03977,1.84015704
0.04002,1.84657024
0.04002,1.74409344
0.04002,1.74409344
0.04052,1.8594
0.04079,1.947725875
0.04101,2.157337875
0.04105,2.2625875
0.04105,2.246376
0.04121,2.278806
0.04127,2.06528544
0.04155,1.78248864
0.04179,1.67380696
