Species,Tm.mean
Vigna_triphylla,217.352941176471
Vigna_trilobata,267.9
Vigna_trichocarpa,270.03125
Vigna_tenuicaulis,228.5
Vigna_subterranea,234.796610169492
Vigna_subramaniana,212.444444444444
Vigna_stipulacea,229.8
Vigna_schimperi,163.076923076923
Vigna_reticulata,256.881355932203
Vigna_radiata,260.060606060606
Vigna_racemosa,274.576923076923
Vigna_populnea,184
Vigna_parkeri,197.175
Vigna_oblongifolia,214.020833333333
Vigna_nigritia,255.48275862069
Vigna_mungo,207
Vigna_multinervis,251.244444444444
Vigna_monantha,271.666666666667
Vigna_minima,230.109090909091
Vigna_membranacea,208.186046511628
Vigna_marina,225.921052631579
Vigna_luteola,227.590909090909
Vigna_longifolia,256.69696969697
Vigna_laurentii,259.875
Vigna_lasiocarpa,252.371428571429
Vigna_hosei,237.111111111111
Vigna_heterophylla,267.333333333333
Vigna_gracilis,260.354166666667
Vigna_glabrescens,257.666666666667
Vigna_gazensis,187.928571428571
Vigna_frutescens,201.5
Vigna_filicaulis,270.5
Vigna_angivensis,185.071428571429
Vigna_ambacensis,258.516666666667
Vigna_aconitifolia,242.454545454545
Vicia_villosa,141.738938053097
Vicia_vicioides,153.466666666667
Vicia_venulosa,97.2857142857143
Vicia_venosa,9.33333333333333
Vicia_unijuga,93.7457627118644
Vicia_tigridis,192.666666666667
Vicia_tibetica,58.8
Vicia_tetrasperma,77.1961722488038
Vicia_tenuifolia,81.1931818181818
Vicia_sylvatica,51.020325203252
Vicia_subvillosa,85.2285714285714
Vicia_stenophylla,192.384615384615
Vicia_sparsiflora,123.5
Vicia_sicula,128.785714285714
Vicia_sibthorpii,163.388888888889
Vicia_serratifolia,116.72972972973
Vicia_sericocarpa,168.688888888889
Vicia_sepium,68.336
Vicia_semiglabra,83.2
Vicia_scandens,147.857142857143
Vicia_sativa,139.923357664234
Vicia_qatmensis,159.454545454545
Vicia_pyrenaica,70.9142857142857
Vicia_pulchella,117.512820512821
Vicia_pubescens,153.769230769231
Vicia_pseudo-orobus,51.5514018691589
Vicia_pisiformis,74.0123456790123
Vicia_pinetorum,145.705882352941
Vicia_peregrina,138.991803278689
Vicia_paucifolia,174.833333333333
Vicia_parviflora,139.455357142857
Vicia_pannonica,106.044943820225
Vicia_palaestina,191.558823529412
Vicia_orobus,74.1801801801802
Vicia_oroboides,74.5217391304348
Vicia_onobrychioides,88.0181818181818
Vicia_ochroleuca,126.875
Vicia_nummularia,94.9090909090909
Vicia_noeana,143.790697674419
Vicia_nipponica,114.274509803922
Vicia_nigricans,95.3823529411765
Vicia_nataliae,169
Vicia_narbonensis,134.88679245283
Vicia_multicaulis,-20.5128205128205
Vicia_montevidensis,170.111111111111
Vicia_montbretii,151.272727272727
Vicia_monardii,162.666666666667
Vicia_monantha,172.56
Vicia_mollis,153.619047619048
Vicia_minutiflora,182.473684210526
Vicia_michauxii,137.594594594595
Vicia_mexicana,130.4
Vicia_menziesii,147
Vicia_melanops,129.435897435897
Vicia_megalotropis,-14.4722222222222
Vicia_lutea,118.563025210084
Vicia_ludoviciana,172.916666666667
Vicia_leucophaea,127.875
Vicia_leucantha,159
Vicia_lathyroides,85.56
Vicia_kalakhensis,176.125
Vicia_johannis,125.565217391304
Vicia_japonica,65.7272727272727
Vicia_hyrcanica,115.086956521739
Vicia_hybrida,143.77037037037
Vicia_hyaeniscyamus,180.066666666667
Vicia_humilis,150.354166666667
Vicia_hirsuta,80.0659898477157
Vicia_grandiflora,134.253333333333
Vicia_glauca,101.5
Vicia_galilaea,171.918918918919
Vicia_galeata,193.928571428571
Vicia_freyniana,81
Vicia_floridana,208.909090909091
Vicia_filicaulis,179.72
Vicia_ferreirensis,182
Vicia_faba,92.5496183206107
Vicia_exigua,164.473684210526
Vicia_esdraelonensis,189.166666666667
Vicia_ervilia,138.311475409836
Vicia_eristalioides,173.2
Vicia_epetiolaris,198.583333333333
Vicia_dumetorum,78.8585858585859
Vicia_disperma,144.840909090909
Vicia_dionysiensis,146.181818181818
Vicia_dichroantha,139.428571428571
Vicia_dennesiana,144
Vicia_cypria,157.5
Vicia_cuspidata,153.213114754098
Vicia_crocea,91.8717948717949
Vicia_cretica,163.52380952381
Vicia_cracca,66.2304147465438
Vicia_cirrhosa,168.05
Vicia_ciliatula,107.159090909091
Vicia_cassubica,69.7111111111111
Vicia_cassia,166.666666666667
Vicia_caroliniana,122.095238095238
Vicia_capreolata,161
Vicia_cappadocica,98.375
Vicia_caesarea,166.666666666667
Vicia_bungei,118.40625
Vicia_bithynica,132.436893203883
Vicia_biennis,51.5862068965517
Vicia_benghalensis,150.2
Vicia_barbazitae,122.511111111111
Vicia_assyriaca,155.4
Vicia_articulata,130.946902654867
Vicia_anatolica,111.866666666667
Vicia_amurensis,84.7777777777778
Vicia_amoena,59.968253968254
Vicia_americana,71.3374485596708
Vicia_altissima,149.058823529412
Vicia_alpestris,38.3714285714286
Vicia_aintabensis,166.411764705882
Vicia_acutifolia,215.379310344828
Vicia_abbreviata,66.8717948717949
Vesselowskya_rubifolia,136.733333333333
Verticordia_staminosa,167.590909090909
Verticordia_plumosa,162.626086956522
Verticordia_picta,179.353535353535
Verticordia_pennigera,174.418604651163
Verticordia_lindleyi,166.2
Verticordia_grandis,191.333333333333
Verticordia_grandiflora,164.466666666667
Verticordia_endlicheriana,168.730769230769
Verticordia_dichroma,206.2
Verticordia_aurea,196.125
Verrucularia_glaucophylla,206.352941176471
Vernicia_montana,204.571428571429
Vernicia_fordii,181.633333333333
Vepris_reflexa,193.433962264151
Vepris_lanceolata,191.25
Ventilago_viminalis,224.899159663866
Ventilago_S61,224.197916666667
Ventilago_elegans,219.772727272727
Vella_spinosa,104.695652173913
Vella_pseudocytisus,131.857142857143
Vella_mairei,94.4444444444444
Vella_lucentina,167.235294117647
Vella_castrilensis,108.333333333333
Vella_bourgaeana,167.411764705882
Vella_aspera,146.301886792453
Vella_anremerica,92
Velascoa_recondita,189.333333333333
Vavilovia_formosa,31.8181818181818
Vavaea_amicorum,267.232142857143
Vauquelinia_corymbosa,175.386363636364
Vauquelinia_californica,170.777777777778
Vaughania_pseudocompressa,239.666666666667
Vaughania_mahafalensis,240.380952380952
Vaughania_longidentata,223.333333333333
Vaughania_interrupta,240
Vaughania_humbertiana,239.428571428571
Vaughania_dionaeifolia,260.473684210526
Vaughania_depauperata,240.777777777778
Vaughania_cloiselii,234.960784313725
Vaughania_cerighellii,202.764705882353
Vatovaea_pseudolablab,242.384615384615
Vatica_pauciflora,266.115384615385
Vatica_papuana,261.888888888889
Vatica_odorata,250.733333333333
Vatica_micrantha,262.519230769231
Vatica_mangachapoi,257.783783783784
Vatica_diospyroides,273.333333333333
Vatica_coriacea,257.571428571429
Vatica_bella,258
Vateria_copallifera,248.5
Vataireopsis_surinamensis,256.727272727273
Vataireopsis_speciosa,259.16
Vataireopsis_araroba,233.529411764706
Vatairea_sericea,264.25
Vatairea_paraensis,258.4375
Vatairea_macrocarpa,247.030303030303
Vatairea_lundellii,247.181818181818
Vatairea_heteroptera,226.526315789474
Vatairea_guianensis,260
Vatairea_fusca,250.966666666667
Vatairea_erythrocarpa,254.914285714286
Vasconcellea_weberbaueri,166.666666666667
Vasconcellea_stipulata,229
Vasconcellea_sphaerocarpa,203.555555555556
Vasconcellea_quercifolia,179.227722772277
Vasconcellea_pulchra,161.333333333333
Vasconcellea_parviflora,238.116279069767
Vasconcellea_monoica,215.2
Vasconcellea_microcarpa,226.395348837209
Vasconcellea_longiflora,191.666666666667
Vasconcellea_horovitziana,220
Vasconcellea_goudotiana,190.157894736842
Vasconcellea_glandulosa,190.583333333333
Vasconcellea_cundinamarcensis,162.2
Vasconcellea_crassipetala,149.833333333333
Vasconcellea_chilensis,146.625
Vasconcellea_cauliflora,239.928571428571
Vasconcellea_candicans,166.214285714286
Vantanea_guianensis,265.555555555556
Vanroyenella_plumosa,236.6
Vallea_stipularis,113.302325581395
Vachellia_vernicosa,178.52380952381
Vachellia_tortilis,207.270833333333
Vachellia_sieberiana,273.314814814815
Vachellia_rehmanniana,198.133333333333
Vachellia_pennatula,208.1875
Vachellia_oviedoensis,208
Vachellia_melanoceras,261.086956521739
Vachellia_macracantha,220.33064516129
Vachellia_kirkii,208
Vachellia_karroo,172.445454545455
Vachellia_hebeclada,200.828571428571
Vachellia_haematoxylon,187.80487804878
Vachellia_gummifera,171.368421052632
Vachellia_gerrardii,217.224489795918
Vachellia_farnesiana,214.360655737705
Vachellia_erioloba,205.780303030303
Vachellia_cucuyo,219
Vachellia_cornigera,251.022727272727
Vachellia_constricta,183.364864864865
Vachellia_collinsii,254.724137931034
Vachellia_choriophylla,246.333333333333
Vachellia_campechiana,241.157894736842
Vachellia_bravoensis,202.75
Vachellia_borleae,216.513513513514
Vachellia_barahonensis,257.666666666667
Urvillea_ulmacea,236.367816091954
Urtica_urens,81.6666666666667
Urtica_membranacea,155.888888888889
Urtica_fissa,153.636363636364
Urtica_dioica,77.56
Urtica_cannabina,30.1666666666667
Urtica_angustifolia,42.7826086956522
Uromyrtus_metrosideros,196.916666666667
Uromyrtus_australis,172.96
Urocarpidium_albiflorum,185
Uribea_tamarindoides,262.970588235294
Urera_simplex,225.847826086957
Urera_glabra,176.454545454545
Urera_elata,221
Urera_caracasana,223.058823529412
Urera_baccifera,212.2375
Urena_lobata,230.524064171123
Uraria_picta,264.421052631579
Uraria_crinita,235.035714285714
Upuna_borneensis,264.466666666667
Ungnadia_speciosa,189.75
Umtiza_listeriana,156.8
Ulmus_pumila,102.325
Ulmus_procera,93.2307692307692
Ulmus_parvifolia,137.238095238095
Ulmus_minor,93.7486338797814
Ulmus_macrocarpa,20.3461538461538
Ulmus_laevis,77.2222222222222
Ulmus_glabra,59.8815789473684
Ulmus_elliptica,40.8
Ulmus_davidiana,71.2477876106195
Ulmus_crassifolia,190.303448275862
Ulmus_americana,128.598540145985
Ulmus_alata,164.361990950226
Ulex_parviflorus,148.51376146789
Ulex_minor,114.636363636364
Ulex_micranthus,141.934782608696
Ulex_genistoides,174.767441860465
Ulex_gallii,87.45
Ulex_europaeus,101.36301369863
Ulex_boivinii,157.78125
Ugni_molinae,110.34693877551
Uapaca_thouarsii,229.192307692308
Uapaca_littoralis,230.555555555556
Uapaca_guineensis,253.039215686275
Uapaca_bojeri,184.8
Tylosema_humifusa,242.333333333333
Tylosema_fassoglensis,219.321428571429
Tylosema_fassoglense,191.729166666667
Tylosema_esculentum,197.490196078431
Tyleria_silvana,234.333333333333
Turritis_laxa,141
Turritis_glabra,64.1560693641619
Turritis_brassica,77
Turraea_sericea,241.88
Turraea_obtusifolia,202.066666666667
Turraea_nilotica,226.642857142857
Turraea_holstii,191.341463414634
Turraea_floribunda,205.333333333333
Turpinia_ternata,208.31914893617
Turpinia_paniculata,207.648648648649
Turpinia_occidentalis,185.740458015267
Turnera_ulmifolia,240.9609375
Turnera_thomasii,232
Turnera_subulata,247.225
Turnera_odorata,262.117647058824
Turnera_oculata,183.571428571429
Turnera_lamiifolia,215.090909090909
Turnera_diffusa,225.83615819209
Turnera_aromatica,247.8
Turnera_acuta,266.846153846154
Tumamoca_macdougalii,233.772727272727
Tuberaria_guttata,142.451923076923
